Movie ID,Title,Release Year,Genre,Box Office Gross ($),Production Budget ($),Lead Actor,Director
1,Expect local friend,2015,Thriller,480341423,56026676,Tracy Keith,William Holder
1,Expect local friend,2015,Thriller,480341423,56026676,Tracy Keith,William Holder
2,Director case discuss,2018,Romance,1206264595,293563230,Sarah Mcconnell,Brandon Gallagher
3,Base,2021,Drama,463382781,181707823,David Holland,Joshua Martin
4,Plan themselves glass,2022,Romance,1981614224,297374558,Jason Lopez,Derek Bradford
5,Understand near,2015,Thriller,622455910,125978655,David Holland,Clinton Harris
6,Above actually several sound,2020,Comedy,1508147647,39333930,Christina Reynolds,Brittany Webster
7,Parent dream,2023,Comedy,1811010706,31031457,Victoria Cherry,Andrea Anderson
8,Break morning,2020,Comedy,850613032,247344213,Anthony James MD,Kristen Wilson
9,Mrs view type,2021,Romance,471987740,75266288,Andrew Bennett,Mark Gross
10,Sea yourself style,2021,Romance,820521169,252282368,Angela Parker,Brandon Gallagher
11,Ball before,2023,Horror,1377454985,158571681,Kimberly Lopez,
12,See strong ground,2023,Horror,1960853367,161226325,Chad Perkins,Diane Meza
13,Necessary because,2023,Action,1050272770,?,Catherine Bush,Brittany Webster
14,Church herself push house,2016,Thriller,149632740,286994444,Anthony James MD,Kristen Wilson
15,Interest hear management,2021,Comedy,1622919657,108992155,Ann Grimes,Craig Parks
16,Case tax,2022,Action,138494574,298384352,Thomas Lee,
17,Movement food,2016,Action,153165001,150506343,Craig Arnold,Matthew Vega
18,Do since,2022,Comedy,1735086606,51640778,Amy Gonzalez,Sara Thompson
19,Nothing blood,2016,Action,729646787,59663364,John Kelly,Mr. Brent Bryan
20,Rich impact,2018,Horror,952616026,296453652,Ricky Alvarado,Brandon Gallagher
21,Go idea,2018,Comedy,1034709343,216306864,Christina Reynolds,Nancy Burns
22,Of appear threat,2022,Drama,1569748219,299375846,Karen Williams,Rachel Hunt
23,Full moment rule,2023,Action,123761493,?,Gerald Johnson,Christina Simmons
24,Husband before need,2016,Thriller,868101399,133185858,Victoria Cherry,Sara Thompson
25,Level energy respond,2020,Drama,1539010182,143600706,Veronica Wallace,Michelle Jones
26,Body central,2016,Action,1210019634,40331548,Chad Perkins,Joshua Martin
27,Bank soon hair explain,2020,Drama,1791453657,163412652,Ricky Alvarado,Catherine Good
28,Under southern recent stock,2016,Comedy,1911643499,298009682,Meghan Harding,Janet Miller
29,All knowledge rate general,2019,Romance,1945195299,28272449,Amy Gonzalez,John Davis
29,All knowledge rate general,2019,Romance,1945195299,28272449,Amy Gonzalez,John Davis
30,End include particularly,2019,Comedy,1185724684,6191380,Mike Haas,Terry Harrell
30,End include particularly,2019,Comedy,1185724684,6191380,Mike Haas,Terry Harrell
31,Mouth person beyond,2023,Comedy,90826799,22418396,Craig Arnold,Catherine Good
32,Total maybe may,2021,Romance,1989062668,88242470,Bryan Livingston,Justin Cameron
33,Require by,2021,Horror,1579524038,144240225,Mike Haas,John Davis
34,Cultural war,2022,Drama,1708991443,120681170,,Mary Wilson
35,Effect after decide,2019,Drama,859302799,288878628,Raymond Reynolds,Jennifer White
36,Memory identify situation,2019,Action,934218566,169404227,Chad Perkins,Denise Marsh
37,Think play score,20a8,Action,1732968896,106782431,Deborah Ali,Mary Wilson
38,Management five,2016,Thriller,1090037295,220254274,Mike Haas,Mr. Brent Bryan
39,Everyone apply nature,2021,Thriller,374720866,162571235,Mercedes Johnson,Alicia Russell
40,Step,2020,Sci-Fi,1451898447,255039896,Patricia Collins,Michele Lucas MD
41,Air two,2020,Action,1614056866,167655180,John Kelly,John Davis
42,Occur card second,2016,Sci-Fi,1353410862,207146870,Andrew Park,Angela Pierce
42,Occur card second,2016,Sci-Fi,1353410862,207146870,Andrew Park,Angela Pierce
43,Free difference,2016,Horror,378713767,279076450,Angela Parker,Mark Gross
44,Can pay trade,2023,Romance,1622887049,272000712,Angela Parker,Sheryl Davis
45,Nor second,2019,Horror,1370367511,280870706,Andrew Park,Chad Porter
46,In well,2020,Drama,174039205,125157563,Alyssa Clark,Chad Porter
47,Us senior image,2022,Sci-Fi,1789620167,11486136,Joseph Davila,Brenda Morgan
47,Us senior image,2022,Sci-Fi,1789620167,11486136,Joseph Davila,Brenda Morgan
48,Live the,2021,Horror,1795713657,294202548,Thomas Lee,Amanda Olson
49,Model however,20a7,Thriller,869263439,251928175,Susan Molina,Andrea Anderson
50,Ask,2016,Thriller,1862549105,27996357,Amanda Frey,Richard Brooks
51,Check bit,2019,Horror,906303576,44973073,Patricia Collins,Joshua Martin
52,Notice herself,2015,Horror,,11941438,Andrew Park,Catherine Good
53,Perhaps make statement,2022,Thriller,793196355,62489365,Christina Reynolds,Marvin Lee
54,Body radio store,2021,Sci-Fi,426909956,?,Jason Lopez,Angela Pierce
55,Less industry recently national,2016,Horror,1681696611,?,Veronica Wallace,Christina Simmons
56,Wish here,20a8,Horror,931984408,247820682,Amy Gonzalez,Heather Brewer
57,Situation professor,2023,Horror,936389095,145093758,Andrew Park,Michele Lucas MD
58,Night trial,2022,Romance,814873333,266378780,Bryan Livingston,Joshua Martin
59,Head most,2019,Romance,,46963108,Leslie Durham,Holly Long
60,Factor day,2022,Sci-Fi,200830551,218111200,Catherine Bush,Derek Bradford
61,Term community,2021,Thriller,756507348,146447148,Thomas Lee,Jennifer Kim
62,Worry safe,2017,Comedy,1040808545,282662274,Nathan Mendez,Rachel Hunt
63,Mind trial board,2015,Thriller,590079101,?,Meghan Harding,Mr. Brent Bryan
64,Strong art quite,2016,Horror,,258007733,Bryan Livingston,Jennifer White
65,Center eye,2016,Sci-Fi,1240143491,29781152,Julie Jackson,Michele Lucas MD
66,Social four in,2021,Romance,1329043297,281553993,Sarah Mcconnell,Carmen Kelly
67,Happen film,2015,Romance,214102467,112555281,Laurie Austin,Sheryl Davis
68,Single painting,2017,Action,1481413235,157368642,,Rachel Hunt
69,Short change part,2018,Drama,1343301844,107203382,Tracy Keith,Diane Meza
70,Best determine,2016,Action,661591329,155946631,Kimberly Lopez,Angela Pierce
71,Thank white impact,2023,Sci-Fi,1285273955,?,Amanda Frey,Justin Cameron
72,Foot process send,2015,Horror,579770519,95054807,Ricky Alvarado,Amanda Olson
73,Decade energy whose,2022,Action,877920863,57156632,Michael Davis,Matthew Holmes
74,Day environmental them,2023,Action,676420449,63234934,Ann Grimes,Brandon Gallagher
75,Drop south similar live,2021,Action,777915262,268626444,Joseph Davila,Amanda Olson
76,Person worry wall,2022,Thriller,62996648,129471847,Catherine Bush,Kristen Wilson
77,Eye,2016,Sci-Fi,1391945961,268563311,Meghan Harding,Amanda Olson
78,South discuss difference concern,2022,Comedy,311616256,273859750,Anthony James MD,Amanda Olson
79,Weight effect enjoy,2020,Horror,1763116584,?,Matthew Lyons,Catherine Good
80,New spring during,2023,Sci-Fi,1186233628,203513106,Amanda Frey,Angela Pierce
81,Keep art situation,2021,Action,1016708756,205671914,Veronica Wallace,Craig Parks
82,Right him author,2015,Comedy,1268402823,54882832,Sarah Mcconnell,Michelle Jones
82,Right him author,2015,Comedy,1268402823,54882832,Sarah Mcconnell,Michelle Jones
83,Require nation skin,2017,Action,570132088,214397234,Michael Davis,Terry Harrell
84,Region Democrat add,2022,Horror,1326984102,?,Meghan Harding,Christina Vaughn
85,Although wish visit,2016,Sci-Fi,644098499,25691212,Glen Peterson,Derek Bradford
86,Scientist conference technology,2021,Romance,387669226,43395809,David Holland,Brittany Webster
87,Certainly price,2018,Sci-Fi,987920128,6045206,Kimberly Lopez,Denise Mccormick
88,Different apply,2020,Romance,912196508,246261856,John Kelly,Brenda Morgan
89,Check seven improve,2020,Romance,1502690396,213496591,Julie Jackson,Jennifer Duncan
90,Important,20a9,Thriller,1942658691,124543871,Tiffany Lee,Jennifer Kim
91,Against difference brother,2017,Thriller,1348456028,166857076,Victoria Cherry,Matthew Vega
92,Argue imagine,2020,Thriller,432203546,290592333,Richard Everett,Amanda Olson
93,Adult process experience,2022,Horror,1870163240,62831266,Deborah Ali,James Kelly
94,Power finally apply game,2021,Horror,786495949,?,Laurie Austin,Michelle Jones
95,Factor open,2019,Romance,1372274104,59167870,David Peters,
96,Series everybody,2018,Thriller,1770215900,163237112,Patrick Simmons,John Davis
97,American dark,2016,Comedy,292336327,200185291,Patricia Collins,Terry Harrell
98,Chair production,2017,Sci-Fi,1791342261,220105546,Samantha Jacobs DDS,
99,Audience article,2018,Horror,1473487158,193561555,Samantha Jacobs DDS,Mark Gross
100,Each here system,2016,Thriller,1374300583,12466197,Michael Davis,Mr. Brent Bryan
101,Senior son blue,2023,Comedy,1747017977,177394064,James Lynch,
102,Stock identify big,2017,Romance,375729715,14840614,Tiffany Lee,Brittany Webster
103,Since would price,20a7,Action,905005919,35122460,Raymond Thompson,Carmen Kelly
104,Enough great point,2015,Thriller,1862827317,162936551,Raymond Reynolds,Brenda Morgan
105,At consider,2016,Sci-Fi,953542850,?,James Lynch,Mr. Brent Bryan
106,Ready pass nation,2023,Thriller,1283889237,244586610,Amy Gonzalez,Angela Pierce
107,Culture teacher within dark,2023,Thriller,924568161,123671554,Kimberly Lopez,Matthew Vega
108,Ground affect nation increase,2019,Drama,1475936930,37041922,Andrew Bennett,Marvin Lee
109,Though work make,2017,Romance,1206997641,66622420,Veronica Wallace,William Holder
110,Risk,2019,Romance,223480518,115213276,David Peters,Marvin Lee
111,Interest effect stop,2016,Horror,486672952,299897383,,Angela Pierce
112,Indicate,2019,Drama,390565468,216169459,Patricia Collins,Justin Cameron
113,Many great,2021,Sci-Fi,339033841,175151736,Julie Jackson,Melissa Landry
114,Program act staff,2015,Thriller,952577861,261737643,Leslie Durham,Holly Long
115,Before,2016,Drama,1274746096,166581400,,Jennifer Martinez
116,Collection,2018,Horror,549723966,65416106,,Steven Hudson
117,Cup case street,2018,Romance,1435622527,39695236,Patricia Collins,
117,Cup case street,2018,Romance,1435622527,39695236,Patricia Collins,
118,Stuff world,2020,Romance,869491524,225247736,Ann Grimes,
119,Finally television reflect,2022,Horror,778072740,?,Andrew Park,Andrea Anderson
120,Simple natural memory,2019,Thriller,716259422,42005865,Patrick Simmons,Jennifer Kim
121,Southern newspaper page,2017,Comedy,550687573,83071341,Ricky Alvarado,Jennifer Duncan
122,New medical truth,2022,Thriller,1213236877,174521100,Jason Lopez,Richard Martinez
123,Administration,2019,Horror,121628710,40830807,Sarah Mcconnell,
124,Exist clearly some,2016,Romance,826669838,298596333,Patricia Collins,Richard Martinez
125,Recently experience,2018,Drama,1077678089,34218191,Michael Davis,Michele Lucas MD
126,Daughter church us,2018,Thriller,944651112,86226223,Meghan Harding,Jennifer Duncan
127,Own grow,2020,Action,1199216879,153550247,Veronica Wallace,Jennifer Martinez
128,Mother our,2017,Drama,1409866777,211430840,Daniel Evans,Jason Day
129,His why,2020,Horror,1510317800,283605273,Veronica Wallace,Derek Bradford
129,His why,2020,Horror,1510317800,283605273,Veronica Wallace,Derek Bradford
130,Give name,2018,Drama,1045258855,74854839,Meghan Harding,Marvin Lee
131,Wonder training,2023,Action,1883039138,71356419,Alyssa Clark,Angela Pierce
132,Energy onto clear,2017,Thriller,883312155,128523053,Susan Molina,Christina Vaughn
133,State understand,2018,Drama,1685422271,105161642,Julie Jackson,Michelle Jones
134,Blood may,2023,Romance,349017279,75302145,Glen Peterson,Derek Bradford
135,Full price,2023,Horror,181120452,147453713,Chad Perkins,William Holder
136,Would minute worker,2022,Drama,891984332,?,Andrew Park,Michele Lucas MD
137,Blue federal,20a5,Horror,721030551,74873219,,Brenda Morgan
138,Perhaps,2022,Sci-Fi,1946314147,?,Alyssa Clark,Matthew Vega
139,Indeed attack today spring,2019,Comedy,103541155,246411006,Karen Williams,Justin Cameron
140,Professional media company,2017,Drama,1321293529,224643027,Veronica Wallace,Derek Bradford
141,Interest recent,2023,Horror,1191032268,?,Victoria Cherry,Derek Bradford
142,Safe start,20a5,Drama,1412120948,179519568,Tiffany Lee,Craig Parks
143,Sister,2022,Thriller,392439009,34876842,Kimberly Lopez,
144,Week purpose environmental,2015,Drama,1107777827,292537385,Victoria Cherry,Jennifer Kim
145,Dark member case major,2015,Horror,587728204,198578788,Ann Grimes,Nancy Burns
146,New professor general,2022,Drama,1116136402,45351715,Andrew Bennett,Steven Hudson
147,Professional PM,2016,Drama,659194845,229769325,Sarah Mcconnell,John Davis
148,Reach build part,2021,Drama,1700685681,41287419,Ann Grimes,Christina Vaughn
149,Each data,2017,Horror,1678854683,68769228,Raymond Thompson,Derek Bradford
150,Republican news among,2017,Thriller,797640220,42277550,Gerald Johnson,Richard Brooks
151,Sure away,2016,Action,1072688748,64222455,Laurie Austin,Alicia Russell
152,War must,2022,Comedy,1832430519,?,Daniel Evans,Michele Lucas MD
153,Single beautiful tough,2020,Thriller,140455607,156887060,Christina Reynolds,Angela Pierce
154,Leg news,2023,Comedy,432602055,128096770,Raymond Reynolds,Denise Marsh
155,Explain,2023,Comedy,186146340,?,Daniel Evans,Heather Brewer
156,Painting young sell,2016,Comedy,1380411620,?,Gerald Johnson,Jennifer Duncan
157,Action three,2017,Sci-Fi,1865470275,?,Alyssa Clark,Sheryl Davis
158,Would behind pick,2020,Romance,1817628810,?,Angela Parker,Clinton Harris
159,Eight meeting,2023,Thriller,1247928879,182258135,Julie Jackson,
160,Age message board,2019,Thriller,1229655290,17259618,Jason Lopez,Craig Parks
161,Hundred wear hair,2021,Drama,1479786384,?,David Peters,Mary Wilson
162,Financial machine board sell,2020,Thriller,742677621,71204542,Chad Perkins,Richard Brooks
163,College vote scene size,2022,Comedy,109674039,207238868,Leslie Durham,Sheryl Davis
164,Arm call,2020,Comedy,1071017089,251619459,Catherine Bush,Michele Lucas MD
165,Point strong account,2018,Comedy,105492551,?,Ricky Alvarado,Rachel Hunt
166,Pay million design,2021,Comedy,1563311679,217495383,Ann Grimes,Kristen Wilson
167,Adult remember,2016,Sci-Fi,1642545343,64786181,Nathan Mendez,Mary Wilson
168,Yeah education check,2017,Comedy,862972197,25322054,,Brenda Morgan
169,Big hour western,2023,Comedy,1317553772,211965885,Patricia Collins,Carmen Kelly
170,Final dog,2023,Sci-Fi,644795342,9931899,Melanie Gonzalez,Sara Thompson
171,Activity apply,2015,Romance,1408870888,123161339,Matthew Lyons,Heather Brewer
172,Yeah leave herself,2021,Comedy,521113159,?,Patrick Simmons,Richard Martinez
173,Customer pattern message,2018,Sci-Fi,1314139130,34437011,Gerald Johnson,Richard Brooks
174,Answer standard,2021,Drama,988119910,184785417,Melanie Gonzalez,Matthew Vega
175,Beat catch strong,2019,Romance,530395816,161255518,Catherine Bush,Janet Miller
176,Foreign support mouth,2020,Sci-Fi,1709119990,155505744,Melanie Gonzalez,Andrea Anderson
177,While arrive,2017,Drama,,43428604,Sarah Mcconnell,Christina Vaughn
178,Build stage,2023,Drama,1496016484,59640574,Matthew Lyons,Melissa Landry
179,Hot mother management,2018,Action,710300149,54979634,Anthony James MD,
180,Compare yes,2021,Thriller,1887348830,108082108,Meghan Harding,Craig Parks
181,Right very,2018,Romance,1827076420,94987187,Bryan Livingston,John Davis
182,Major near,2022,Comedy,1874229983,21114503,,Marvin Lee
183,Film wide he,2022,Thriller,1061668842,73048045,Kimberly Lopez,Mark Gross
184,Rise nor back,2019,Thriller,1582874880,159389940,Joseph Davila,Emily Rios
185,Hotel act south,2021,Romance,861782847,100203651,David Peters,Brittany Webster
185,Hotel act south,2021,Romance,861782847,100203651,David Peters,Brittany Webster
186,Try rest,2022,Horror,708864947,7139513,Richard Everett,Melissa Landry
187,Project season western,2017,Sci-Fi,1983355058,167955012,Jason Lopez,Rachel Hunt
188,Thank today live,2017,Sci-Fi,1606748335,201588309,Angela Parker,Holly Long
189,Western course write,2018,Horror,1621790834,44953786,Gerald Johnson,Chad Porter
190,Police air,2023,Romance,1153468919,177156812,Sarah Mcconnell,Alicia Russell
191,Past determine,2023,Sci-Fi,974738458,224029369,Glen Peterson,Denise Mccormick
192,Meet professor answer,2021,Drama,1602602940,40207429,,Chad Porter
193,Ground security compare,2016,Sci-Fi,,73707818,Jason Nielsen,Sara Thompson
194,Attorney south state,2022,Horror,811667242,290534625,Tiffany Lee,Terry Harrell
195,Drug nor occur teacher,2018,Horror,,?,Melanie Gonzalez,William Holder
196,Music wall,2018,Sci-Fi,592953290,61583007,,Emily Rios
197,Region foot rule,2015,Comedy,217674037,240681221,Daniel Evans,Brittany Webster
198,Safe their,2018,Romance,1855846568,76234714,Meghan Harding,Matthew Vega
199,Although full bad contain,2020,Comedy,308649425,280844531,Catherine Bush,Kristen Wilson
200,Feeling commercial,2017,Thriller,1194680218,185906301,Veronica Wallace,Heather Brewer
201,Leave movie,2017,Drama,1621096237,130368809,Catherine Bush,Diane Meza
